settlement_id,utr,settlement_date,gross_amount,razorpay_fee,gst_on_fee,tds_deducted,net_amount
SET0054,UTR202608000054,2026-08-24,15412.26,308.25,55.49,154.12,14894.40
SET0055,UTR202608000055,2026-08-08,13617.26,272.35,49.02,136.17,13159.72
SET0056,UTR202608000056,2026-08-19,11654.26,233.09,41.96,116.54,11262.67
SET0057,UTR202608000057,2026-08-24,12383.26,247.67,44.58,123.83,11967.18
SET0058,UTR202608000058,2026-08-13,9500.26,190.01,34.20,95.00,9181.05
SET0059,UTR202608000059,2026-08-23,8850.26,177.01,31.86,88.50,8552.89
SET0060,UTR202608000060,2026-08-28,13007.26,260.15,46.83,130.07,12570.21
SET0061,UTR202608000061,2026-08-17,14212.26,284.25,51.17,142.12,13734.72
SET0062,UTR202608000062,2026-08-27,13434.26,268.69,48.36,134.34,12982.87
SET0063,UTR202608000063,2026-08-11,15506.26,310.13,55.82,155.06,14985.25
SET0064,UTR202608000064,2026-08-21,10293.26,205.87,37.06,102.93,9947.40
SET0065,UTR202608000065,2026-08-26,10233.26,204.67,36.84,102.33,9889.42
SET0066,UTR202608000066,2026-08-15,16493.26,329.87,59.38,164.93,15939.08
SET0067,UTR202608000067,2026-08-25,13510.26,270.21,48.64,135.10,13056.31
SET0068,UTR202608000068,2026-08-09,13573.26,271.47,48.86,135.73,13117.20
SET0069,UTR202608000069,2026-08-19,13907.26,278.15,50.07,139.07,13439.97
SET0070,UTR202608000070,2026-08-24,15105.26,302.11,54.38,151.05,14597.72
SET0071,UTR202608000071,2026-08-14,12799.26,255.99,46.08,127.99,12369.20
SET0072,UTR202608000072,2026-08-24,8680.26,173.61,31.25,86.80,8388.60
SET0073,UTR202608000073,2026-08-08,12563.26,251.27,45.23,125.63,12141.13
SET0074,UTR202608000074,2026-08-18,10955.26,219.11,39.44,109.55,10587.16
SET0075,UTR202608000075,2026-08-28,14061.26,281.23,50.62,140.61,13588.80
SET0076,UTR202608000076,2026-08-12,16677.26,333.55,60.04,166.77,16116.90
SET0077,UTR202608000077,2026-08-22,16553.26,331.07,59.59,165.53,15997.07
SET0078,UTR202608000078,2026-08-27,16212.26,324.25,58.37,162.12,15667.52
SET0079,UTR202608000079,2026-08-16,14411.26,288.23,51.88,144.11,13927.04
SET0080,UTR202608000080,2026-08-26,14317.26,286.35,51.54,143.17,13836.20
SET0081,UTR202608000081,2026-08-10,9510.26,190.21,34.24,95.10,9190.71
SET0082,UTR202608000082,2026-08-20,14496.26,289.93,52.19,144.96,14009.18
SET0083,UTR202608000083,2026-08-25,12639.26,252.79,45.50,126.39,12214.58
SET0084,UTR202608000084,2026-08-14,14972.26,299.45,53.90,149.72,14469.19
SET0085,UTR202608000085,2026-08-24,15661.26,313.23,56.38,156.61,15135.04
SET0086,UTR202608000086,2026-08-09,16199.26,323.99,58.32,161.99,15654.96
SET0087,UTR202608000087,2026-08-19,14582.26,291.65,52.50,145.82,14092.29
SET0088,UTR202608000088,2026-08-24,13248.26,264.97,47.69,132.48,12803.12
SET0089,UTR202608000089,2026-08-13,11466.26,229.33,41.28,114.66,11080.99
SET0090,UTR202608000090,2026-08-23,13350.26,267.01,48.06,133.50,12901.69
SET0091,UTR202608000091,2026-08-28,12542.26,250.85,45.15,125.42,12120.84
SET0092,UTR202608000092,2026-08-17,10855.26,217.11,39.08,108.55,10490.52
SET0093,UTR202608000093,2026-08-27,13246.26,264.93,47.69,132.46,12801.18
SET0094,UTR202608000094,2026-08-11,12676.26,253.53,45.64,126.76,12250.33
SET0095,UTR202608000095,2026-08-21,10795.26,215.91,38.86,107.95,10432.54
SET0096,UTR202608000096,2026-08-26,12528.26,250.57,45.10,125.28,12107.31
SET0097,UTR202608000097,2026-08-15,13206.26,264.13,47.54,132.06,12762.53
SET0098,UTR202608000098,2026-08-25,13270.26,265.41,47.77,132.70,12824.38
SET0099,UTR202608000099,2026-08-09,17654.26,353.09,63.56,176.54,17061.07
SET0100,UTR202608000100,2026-08-19,10451.26,209.03,37.63,104.51,10100.09
SET0101,UTR202608000101,2026-08-24,10168.26,203.37,36.61,101.68,9826.60
SET0102,UTR202608000102,2026-08-14,11360.26,227.21,40.90,113.60,10978.55
SET0103,UTR202608000103,2026-08-28,11542.24,230.84,41.55,115.42,11154.43
SET0104,UTR202608000104,2026-08-29,12951.08,259.02,46.62,129.51,12515.93
SET0105,UTR202608000105,2026-08-30,12251.30,245.03,44.11,122.51,11839.65
SET0106,UTR202608000106,2026-08-31,11370.74,227.41,40.93,113.71,10988.69
SET0107,UTR202608000107,2026-08-28,11586.93,231.74,41.71,115.87,11197.61
SET0108,UTR202608000108,2026-08-29,12270.29,245.41,44.17,122.70,11858.01
SET0109,UTR202608000109,2026-08-30,11498.54,229.97,41.39,114.99,11112.19
SET0110,UTR202608000110,2026-08-31,12808.57,256.17,46.11,128.09,12378.20
SET0111,UTR202608000111,2026-08-28,10861.98,217.24,39.10,108.62,10497.02
SET0112,UTR202608000112,2026-08-29,12326.41,246.53,44.38,123.26,11912.24
SET0113,UTR202608000113,2026-08-30,10573.83,211.48,38.07,105.74,10218.54
SET0114,UTR202608000114,2026-08-31,11151.69,223.03,40.15,111.52,10776.99
SET0115,UTR202608000115,2026-08-28,12678.92,253.58,45.64,126.79,12252.91
SET0116,UTR202608000116,2026-08-29,12823.93,256.48,46.17,128.24,12393.04
SET0117,UTR202608000117,2026-08-30,12998.00,259.96,46.79,129.98,12561.27
SET0118,UTR202608000118,2026-08-31,11871.71,237.43,42.74,118.72,11472.82
SET0119,UTR202608000119,2026-08-28,12157.65,243.15,43.77,121.58,11749.15
SET0120,UTR202608000120,2026-08-29,12896.71,257.93,46.43,128.97,12463.38
