order_id,order_date,gross_amount,customer_id,status
ORD0057,2026-08-22,7753.13,CUST0057,PAID
ORD0058,2026-08-01,4971.13,CUST0058,PAID
ORD0059,2026-08-06,8646.13,CUST0059,PAID
ORD0060,2026-08-11,4587.13,CUST0060,PAID
ORD0061,2026-08-17,7067.13,CUST0061,PAID
ORD0062,2026-08-22,6827.13,CUST0062,PAID
ORD0063,2026-08-01,5556.13,CUST0063,PAID
ORD0064,2026-08-06,3738.13,CUST0064,PAID
ORD0065,2026-08-11,5762.13,CUST0065,PAID
ORD0066,2026-08-16,4556.13,CUST0066,PAID
ORD0067,2026-08-21,4294.13,CUST0067,PAID
ORD0068,2026-08-26,7246.13,CUST0068,PAID
ORD0069,2026-08-05,5761.13,CUST0069,PAID
ORD0070,2026-08-10,7937.13,CUST0070,PAID
ORD0071,2026-08-15,6275.13,CUST0071,PAID
ORD0072,2026-08-20,6135.13,CUST0072,PAID
ORD0073,2026-08-25,7299.13,CUST0073,PAID
ORD0074,2026-08-04,7910.13,CUST0074,PAID
ORD0075,2026-08-09,7596.13,CUST0075,PAID
ORD0076,2026-08-14,4009.13,CUST0076,PAID
ORD0077,2026-08-19,6284.13,CUST0077,PAID
ORD0078,2026-08-24,4960.13,CUST0078,PAID
ORD0079,2026-08-03,5273.13,CUST0079,PAID
ORD0080,2026-08-08,7045.13,CUST0080,PAID
ORD0081,2026-08-13,9448.13,CUST0081,PAID
ORD0082,2026-08-18,7085.13,CUST0082,PAID
ORD0083,2026-08-23,6425.13,CUST0083,PAID
ORD0084,2026-08-02,8446.13,CUST0084,PAID
ORD0085,2026-08-07,5127.13,CUST0085,PAID
ORD0086,2026-08-12,5857.13,CUST0086,PAID
ORD0087,2026-08-17,8050.13,CUST0087,PAID
ORD0088,2026-08-22,9614.13,CUST0088,PAID
ORD0089,2026-08-01,5491.13,CUST0089,PAID
ORD0090,2026-08-06,4503.13,CUST0090,PAID
ORD0091,2026-08-12,8296.13,CUST0091,PAID
ORD0092,2026-08-17,4097.13,CUST0092,PAID
ORD0093,2026-08-22,4583.13,CUST0093,PAID
ORD0094,2026-08-01,5881.13,CUST0094,PAID
ORD0095,2026-08-06,6682.13,CUST0095,PAID
ORD0096,2026-08-11,7221.13,CUST0096,PAID
ORD0097,2026-08-16,3734.13,CUST0097,PAID
ORD0098,2026-08-21,5228.13,CUST0098,PAID
ORD0099,2026-08-26,8833.13,CUST0099,PAID
ORD0100,2026-08-05,9014.13,CUST0100,PAID
ORD0101,2026-08-10,7663.13,CUST0101,PAID
ORD0102,2026-08-15,8105.13,CUST0102,PAID
ORD0103,2026-08-20,8448.13,CUST0103,PAID
ORD0104,2026-08-25,7631.13,CUST0104,PAID
ORD0105,2026-08-04,8581.13,CUST0105,PAID
ORD0106,2026-08-09,9783.13,CUST0106,PAID
ORD0107,2026-08-14,4628.13,CUST0107,PAID
ORD0108,2026-08-19,9672.13,CUST0108,PAID
ORD0109,2026-08-24,4645.13,CUST0109,PAID
ORD0110,2026-08-03,4913.13,CUST0110,PAID
ORD0111,2026-08-08,4597.13,CUST0111,PAID
ORD0112,2026-08-13,7374.13,CUST0112,PAID
ORD0113,2026-08-18,7122.13,CUST0113,PAID
ORD0114,2026-08-23,8882.13,CUST0114,PAID
ORD0115,2026-08-02,3757.13,CUST0115,PAID
ORD0116,2026-08-07,9013.13,CUST0116,PAID
ORD0117,2026-08-12,5959.13,CUST0117,PAID
ORD0118,2026-08-17,7561.13,CUST0118,PAID
ORD0119,2026-08-22,8100.13,CUST0119,PAID
ORD0120,2026-08-01,6420.13,CUST0120,PAID
ORD0121,2026-08-07,9779.13,CUST0121,PAID
ORD0122,2026-08-12,9553.13,CUST0122,PAID
ORD0123,2026-08-17,5029.13,CUST0123,PAID
ORD0124,2026-08-22,6155.13,CUST0124,PAID
ORD0125,2026-08-01,7093.13,CUST0125,PAID
ORD0126,2026-08-06,4184.13,CUST0126,PAID
ORD0127,2026-08-11,7282.13,CUST0127,PAID
ORD0128,2026-08-16,8495.13,CUST0128,PAID
ORD0129,2026-08-21,4855.13,CUST0129,PAID
ORD0130,2026-08-26,8374.13,CUST0130,PAID
ORD0131,2026-08-05,4168.13,CUST0131,PAID
ORD0132,2026-08-10,3922.13,CUST0132,PAID
ORD0133,2026-08-15,6933.13,CUST0133,PAID
ORD0134,2026-08-20,5020.13,CUST0134,PAID
ORD0135,2026-08-25,8226.13,CUST0135,PAID
ORD0136,2026-08-04,3658.13,CUST0136,PAID
ORD0137,2026-08-09,9018.13,CUST0137,PAID
ORD0138,2026-08-14,5375.13,CUST0138,PAID
ORD0139,2026-08-19,5420.13,CUST0139,PAID
ORD0140,2026-08-24,4443.13,CUST0140,PAID
ORD0141,2026-08-03,8085.13,CUST0141,PAID
ORD0142,2026-08-08,6735.13,CUST0142,PAID
ORD0143,2026-08-13,6471.13,CUST0143,PAID
ORD0144,2026-08-18,3574.13,CUST0144,PAID
ORD0145,2026-08-23,9696.13,CUST0145,PAID
ORD0146,2026-08-02,9537.13,CUST0146,PAID
ORD0147,2026-08-07,8117.13,CUST0147,PAID
ORD0148,2026-08-12,4543.13,CUST0148,PAID
ORD0149,2026-08-17,5908.13,CUST0149,PAID
